deprecated_features
auc_chargeback_vend_7d
auc_chargeback_vend_90d
auc_control
auc_control_1d
auc_control_30d
auc_control_7d
auc_control_90d
auc_cross_receiver
auc_cross_receiver_10d
auc_cross_receiver_90d
auc_cross_receiver_dml
auc_cross_receiver_dml_10d
auc_cross_receiver_dml_90d
auc_d_users_10d
auc_d_users_90d
auc_disputas
auc_disputas_1d
auc_disputas_30d
auc_disputas_7d
auc_disputas_90d
auc_distinct_users_risky_crosses
auc_distinct_users_risky_crosses_1d
auc_distinct_users_risky_crosses_30d
auc_distinct_users_risky_crosses_7d
auc_distinct_users_risky_crosses_90d
auc_dml_users_10d
auc_dml_users_90d
auc_fondeo
auc_fondeo_1d
auc_fondeo_30d
auc_fondeo_7d
auc_fondeo_90d
auc_fondeo_dudoso
auc_fondeo_dudoso_1d
auc_fondeo_dudoso_30d
auc_fondeo_dudoso_7d
auc_fondeo_dudoso_90d
auc_fraude_cruce
auc_fraude_cruce_1d
auc_fraude_cruce_30d
auc_fraude_cruce_7d
auc_fraude_cruce_90d
auc_fraude_ml
auc_fraude_ml_1d
auc_fraude_ml_30d
auc_fraude_ml_7d
auc_fraude_ml_90d
auc_fraude_mpos
auc_fraude_mpos_1d
auc_fraude_mpos_30d
auc_fraude_mpos_7d
auc_fraude_mpos_90d
auc_fraude_tc
auc_fraude_tc_1d
auc_fraude_tc_30d
auc_fraude_tc_7d
auc_fraude_tc_90d
auc_frd_boleto
auc_frd_boleto_1d
auc_frd_boleto_30d
auc_frd_boleto_7d
auc_frd_boleto_90d
auc_ggp_events_15d
auc_ggp_events_2d
auc_ggp_events_30d
auc_ggp_events_7d
auc_ggp_events_90d
auc_ggp_ud_15d
auc_ggp_ud_2d
auc_ggp_ud_30d
auc_ggp_ud_7d
auc_ggp_ud_90d
auc_gp_events_15d
auc_gp_events_2d
auc_gp_events_30d
auc_gp_events_7d
auc_gp_events_90d
auc_gp_ud_15d
auc_gp_ud_2d
auc_gp_ud_30d
auc_gp_ud_7d
auc_gp_ud_90d
auc_gpp_events_15d
auc_gpp_events_2d
auc_gpp_events_30d
auc_gpp_events_7d
auc_gpp_events_90d
auc_gpp_ud_15d
auc_gpp_ud_2d
auc_gpp_ud_30d
auc_gpp_ud_7d
auc_gpp_ud_90d
auc_is_missing
auc_list_allow_y_percentage
auc_log_events_15d
auc_log_events_2d
auc_log_events_30d
auc_log_events_7d
auc_log_events_90d
auc_log_ud_15d
auc_log_ud_2d
auc_log_ud_30d
auc_log_ud_7d
auc_log_ud_90d
auc_mcontrol
auc_mcontrol_1d
auc_mcontrol_30d
auc_mcontrol_7d
auc_mcontrol_90d
auc_money_in_tc
auc_money_in_tc_1d
auc_money_in_tc_30d
auc_money_in_tc_7d
auc_money_in_tc_90d
auc_mpos
auc_mpos_1d
auc_mpos_30d
auc_mpos_7d
auc_mpos_90d
auc_p_events_15d
auc_p_events_2d
auc_p_events_30d
auc_p_events_7d
auc_p_events_90d
auc_p_ud_15d
auc_p_ud_2d
auc_p_ud_30d
auc_p_ud_7d
auc_p_ud_90d
auc_pay_events_15d
auc_pay_events_2d
auc_pay_events_30d
auc_pay_events_7d
auc_pay_events_90d
auc_pay_ud_15d
auc_pay_ud_2d
auc_pay_ud_30d
auc_pay_ud_7d
auc_pay_ud_90d
auc_pp_events_15d
auc_pp_events_2d
auc_pp_events_30d
auc_pp_events_7d
auc_pp_events_90d
auc_pp_ud_15d
auc_pp_ud_2d
auc_pp_ud_30d
auc_pp_ud_7d
auc_pp_ud_90d
auc_qty_crosses_event_new_10d
auc_qty_crosses_event_new_2d
auc_qty_crosses_event_new_30d
auc_qty_crosses_new_10d
auc_qty_crosses_new_2d
auc_qty_crosses_new_30d
auc_rba_events_15d
auc_rba_events_2d
auc_rba_events_30d
auc_rba_events_7d
auc_rba_events_90d
auc_rba_ud_15d
auc_rba_ud_2d
auc_rba_ud_30d
auc_rba_ud_7d
auc_rba_ud_90d
auc_reg_events_15d
auc_reg_events_2d
auc_reg_events_30d
auc_reg_events_7d
auc_reg_events_90d
auc_reg_ud_15d
auc_reg_ud_2d
auc_reg_ud_30d
auc_reg_ud_7d
auc_reg_ud_90d
auc_ret_mp
auc_ret_mp_1d
auc_ret_mp_30d
auc_ret_mp_7d
auc_ret_mp_90d
auc_sell_allow_y_percentage
auc_tko
auc_tko_1d
auc_tko_30d
auc_tko_7d
auc_tko_90d
auc_uniq_events_15d
auc_uniq_events_2d
auc_uniq_events_30d
auc_uniq_events_7d
auc_uniq_events_90d
auc_uniq_ud_15d
auc_uniq_ud_2d
auc_uniq_ud_30d
auc_uniq_ud_7d
auc_uniq_ud_90d
auc_wit_events_15d
auc_wit_events_2d
auc_wit_events_30d
auc_wit_events_7d
auc_wit_events_90d
auc_wit_ud_15d
auc_wit_ud_2d
auc_wit_ud_30d
auc_wit_ud_7d
auc_wit_ud_90d
